5S_rRNA	RF00001	5S ribosomal RNA
5_8S_rRNA	RF00002	5.8S ribosomal RNA
U1	RF00003	U1 spliceosomal RNA
U2	RF00004	U2 spliceosomal RNA
tRNA	RF00005	tRNA
Vault	RF00006	Vault RNA
U12	RF00007	U12 minor spliceosomal RNA
Hammerhead_3	RF00008	Hammerhead ribozyme (type III)
RNaseP_nuc	RF00009	Nuclear RNase P
RNaseP_bact_a	RF00010	Bacterial RNase P class A
RNaseP_bact_b	RF00011	Bacterial RNase P class B
U3	RF00012	Small nucleolar RNA U3
6S	RF00013	6S / SsrS RNA
DsrA	RF00014	DsrA RNA
U4	RF00015	U4 spliceosomal RNA
SNORD14	RF00016	Small nucleolar RNA SNORD14
Metazoa_SRP	RF00017	Metazoan signal recognition particle RNA
CsrB	RF00018	CsrB/RsmB RNA family
Y_RNA	RF00019	Y RNA
U5	RF00020	U5 spliceosomal RNA
Spot_42	RF00021	Spot 42 RNA
GcvB	RF00022	GcvB RNA
tmRNA	RF00023	transfer-messenger RNA
Telomerase-vert	RF00024	Vertebrate telomerase RNA
Telomerase-cil	RF00025	Ciliate telomerase RNA
U6	RF00026	U6 spliceosomal RNA
let-7	RF00027	let-7 microRNA precursor
Intron_gpI	RF00028	Group I catalytic intron
Intron_gpII	RF00029	Group II catalytic intron
RNase_MRP	RF00030	RNase MRP
SECIS_1	RF00031	Selenocysteine insertion sequence 1
Histone3	RF00032	Histone 3' UTR stem-loop
MicF	RF00033	MicF RNA
RprA	RF00034	RprA RNA
OxyS	RF00035	OxyS RNA
RRE	RF00036	HIV Rev response element
IRE_I	RF00037	Iron response element I
PrfA	RF00038	PrfA thermoregulator UTR
DicF	RF00039	DicF RNA
rne5	RF00040	RNase E 5' UTR element
Entero_OriR	RF00041	Enteroviral 3' UTR element
CopA	RF00042	CopA-like RNA
Plasmid_R1162	RF00043	R1162-like plasmid antisense RNA
Phage_pRNA	RF00044	Bacteriophage pRNA
SNORA73	RF00045	Small nucleolar RNA SNORA73 family
snoR30	RF00046	Small nucleolar RNA R30/Z108
mir-2	RF00047	mir-2 microRNA precursor
Entero_CRE	RF00048	Enterovirus cis-acting replication element
SNORD36	RF00049	Small nucleolar RNA SNORD36
FMN	RF00050	FMN riboswitch (RFN element)
mir-17	RF00051	mir-17 microRNA precursor family
lin-4	RF00052	lin-4 microRNA precursor
mir-7	RF00053	mir-7 microRNA precursor
SNORD25	RF00054	Small nucleolar RNA SNORD25
SNORD96	RF00055	Small nucleolar RNA SNORD96 family
SNORA71	RF00056	Small nucleolar RNA SNORA71
RyhB	RF00057	RyhB RNA
HgcF	RF00058	HgcF RNA (Pab35)
TPP	RF00059	TPP riboswitch (THI element)
HgcE	RF00060	HgcE RNA (Pab105)
IRES_HCV	RF00061	Hepatitis C virus internal ribosome entry site
HgcC	RF00062	HgcC family RNA
SscA	RF00063	SscA RNA
HgcG	RF00064	HgcG RNA (Pab40)
snoR9	RF00065	Small nucleolar RNA snoR9
U7	RF00066	U7 small nuclear RNA
SNORD15	RF00067	Small nucleolar RNA SNORD15
SNORD21	RF00068	Small nucleolar RNA SNORD21
SNORD24	RF00069	Small nucleolar RNA SNORD24
SNORD29	RF00070	Small nucleolar RNA SNORD29
SNORD73	RF00071	Small nucleolar RNA SNORD73
SNORA75	RF00072	Small nucleolar RNA SNORA75
mir-156	RF00073	mir-156 microRNA precursor
mir-29	RF00074	mir-29 microRNA precursor
mir-166	RF00075	mir-166 microRNA precursor
mir-181	RF00076	mir-181 microRNA precursor
SraB	RF00077	SraB RNA
MicA	RF00078	MicA sRNA
OmrA-B	RF00079	OmrA-B family
yybP-ykoY	RF00080	yybP-ykoY manganese riboswitch
ArcZ	RF00081	ArcZ RNA
SraG	RF00082	SraG RNA
GlmZ_SraJ	RF00083	GlmZ RNA activator of glmS mRNA
CsrC	RF00084	CsrC RNA family
